"JPMorgan Chase,JPMorgan Chse,JPMorgan Chae,JPMorgan Chse"
"Life Insurance Corp. of India,Life Insurance Corp. of Inda,Lfe Insurance Corp. of India,Lfe Insurance Corp. of Inda"
"General Motors,General Motrs,Generl Motors,Generl Motrs"
"Nippon Telegraph & Tel,Nippon Telegrah & Tel,Nipon Telegraph & Tel,Nipon Telegrah & Tel"
"Credit Agricole,Credit Agricle,Cretit Agricole,Cretit Agricle"
"Broadcom,Brodcom,Broadcm,Brodcm"
"PepsiCo,PepsCo,PesiCo,PesiCo"
"The Home Depot,The Home Dpot,The Hme Depot,The Hme Dpot"
"Oracle,Orcle,Orale,Orcle"
"Mitsubishi,Mitsbishi,Mitsubshi,Mitsbishi"
"Roche Holding,Roche Holdng,Rche Holding,Rche Holdng"
"Equinor,Equior,Eqinor,Eqinor"
"Elevance Health,Elevance Helth,Elvance Health,Elvance Helth"
"CNOOC,CNOC,CNOC,CNOC"
"Industrial Bank,Industral Bank,Indstrial Bank,Indstral Bank"
"Intesa Sanpaolo Assicura,Intesa Sanpaolo Asicura,Intesa Sanpolo Assicura,Intesa Sanpolo Asicura"
"IBM,IM,IB,IM"
"Chubb,Chub,Chub,Chub"
"Ita¨² Unibanco Holding,Ita¨² Unibnco Holding,Ita¨² Unibanco Hlding,Ita¨² Unibnco Hlding"
"Anheuser-Busch InBev,Anheuser-Busch InBv,Anheuser-Bsch InBev,Anheuser-Bsch InBv"
"AbbVie,AbVie,AbbVe,AbVe"
"Cisco Systems,Ciso Systems,Csco Systems,Ciso Systems"
"Honda Motor,Honda Mtor,Hoda Motor,Hoda Mtor"
"Bank of Nova Scotia,Bank of Nova Sctia,Bnk of Nova Scotia,Bnk of Nova Sctia"
"Hyundai Motor,Hyundai Mtor,Hyundai Motor,Hyundai Mtor"
"Enel,Eel,Enl,Eel"
"Cigna,Ciga,Cgna,Ciga"
"Costco Wholesale,Costco Whlesale,Costco Wholesele,Costco Whlesele"
"Munich Re,Munih Re,Minich Re,Minich Re"
"Zurich Insurance Group,Zurich Insrance Group,Zuric Insurance Group,Zuric Insrance Group"
"Novartis,Novrtis,Nvartis,Novrtis"
"Coca-Cola,Coca-Cola,Coca-Caola,Coca-Caola"
"GE Aerospace,GE Aerosapce,GE Aerspace,GE Aersapce"
"Caterpillar,Caterpilar,Caterpilar,Caterpilar"
"John Deere,John Dere,Jon Deere,Jon Dere"
"Bank of Montreal,Bank of Montrel,Bnk of Montreal,Bnk of Montrel"
"Mizuho Financial,Mizuho Financal,Mizuo Financial,Mizuo Financal"
"AIRBUS,AIRBIS,ARBUS,ARBIS"
"Intel,Intle,Itel,Itle"
"Mitsui,Mitsui,Mtsui,Mtsui"
"ConocoPhillips,ConocoPhilips,ConocoPhillps,ConocoPhilps"
"China State Construction Engineering,China State Constrction Engineering,Chna State Construction Engineering,Chna State Constrction Engineering"
"NVIDIA,NVIDA,NVDA,NVDA"
"Rio Tinto,Rio Tnto,Rio Tino,Rio Tnto"
"CITIC,CITC,CITIC,CITC"
"RTX,RTX,RTX,RTX"
"Glencore International,Glencore Internatioal,Glencor International,Glencor Internatioal"
"BHP Group,BHP Grup,BHP Group,BHP Grup"
"China Life Insurance,China Life Insrance,Chna Life Insurance,Chna Life Insrance"
"US Bancorp,US Bncorp,US Bancop,US Bncorp"
"Hon Hai Precision,Hon Hai Precison,Hn Hai Precision,Hn Hai Precison"
"Iberdrola,Iberdrola,Iberdola,Iberdola"
"AstraZeneca,AstraZenca,AstraZneca,AstraZenca"
"Sanofi,Snofi,Sanfi,Snofi"
"Unilever,Unilver,Unilver,Unilver"
"Ford Motor,Ford Mtor,Fod Motor,Fod Mtor"
"Capital One,Capital Oe,Capitl One,Capitl Oe"
"NAB - National Australia Bank,NAB - National Australia Bnk,NAB - Natonal Australia Bank,NAB - Natonal Australia Bnk"
"Apollo Global Management,Apollo Global Managment,Aplo Global Management,Aplo Global Managment"
"Visa,Vsa,Vsa,Vsa"
"UniCredit,UniCedit,UnCredit,UnCedit"
"Contemporary Amperex Technology,Contemporary Amperx Technology,Contemprary Amperex Technology,Contemprary Amperx Technology"
"American International Group,American Internatioal Group,Amercan International Group,Amercan Internatioal Group"
"ANZ Group Holdings,ANZ Group Holdngs,AN Group Holdings,AN Group Holdngs"
"VINCI,VIINCI,VICI,VICI"
"China Citic Bank,China Citic Bnk,Chna Citic Bank,Chna Citic Bnk"
"Thermo Fisher Scientific,Thermo Fisher Scientfic,Thero Fisher Scientific,Thero Fisher Scientfic"
"Charles Schwab,Charles Schwb,Charls Schwab,Charls Schwb"
"Progressive,Progressve,Progresive,Progresive"
"DBS,DB,DBS,DB"
"Marathon Petroleum,Marathon Petoleum,Marathn Petroleum,Marathn Petoleum"
"PNC Financial Services,PNC Financal Services,PNC Financial Servces,PNC Financal Servces"
"Generali Group,Generali Grup,Generli Group,Generli Grup"
"ICICI Bank,ICICI Bnk,ICI Bank,ICI Bnk"
"Itochu,Itohu,Itoch,Itoch"
"Westpac Banking Group,Westpac Banking Grup,Westac Banking Group,Westac Banking Grup"
"United Parcel Service,United Parcel Servce,Unted Parcel Service,Unted Parcel Servce"
"Deutsche Bank,Deutsche Bnk,Detusche Bank,Detusche Bnk"
"Canadian Imperial Bank,Canadian Imperal Bank,Canadin Imperial Bank,Canadin Imperal Bank"
"China Shenhua Energy,China Shenhua Energey,Chna Shenhua Energy,Chna Shenhua Energey"
"Tokio Marine Holdings,Tokio Marine Holdngs,Toko Marine Holdings,Toko Marine Holdngs"
"NextEra Energy,NextEra Energey,NxtEra Energy,NxtEra Energey"
"Eni,Eni,Eni,Eni"
"BYD,BYD,BY,BY"
"ING Group,ING Grup,IG Group,IG Grup"
"Lloyds Banking Group,Lloyds Banking Grup,Llyods Banking Group,Llyods Banking Grup"
"Walt Disney,Walt Disny,Wlt Disney,Wlt Disny"
"Phillips 66,Phillips 6,Phllips 66,Phllips 6"
"MetLife,MetLfe,MetLfe,MetLfe"
"Salesforce,Salesfrce,Slesforce,Slesfrce"
"Shanghai Pudong Development,Shanghai Pudong Develoment,Shnghai Pudong Development,Shnghai Pudong Develoment"
"Banco do Brasil,Banco do Brasl,Bnco do Brasil,Bnco do Brasl"
"AIA Group,AIA Grup,AIA Group,AIA Grup"
"Merck & Co.,Merck & C.,Merck & Co.,Merck & C."
"Abbott Laboratories,Abbott Laboratries,Abbot Laboratories,Abbot Laboratries"
"China Telecom,China Teleom,Chna Telecom,Chna Teleom"
"Dell Technologies,Dell Technolgies,Dll Technologies,Dll Technolgies"
"Barclays,Barclays,Barlays,Barlays"
"Linde,Lide,Lnde,Lide"
"FedEx,FedX,EdEx,EdX"
"Hitachi,Hitach,Hitach,Hitach"
"Accenture,Accentue,Accnture,Accntue"
"Lockheed Martin,Lockheed Mrtin,Locheed Martin,Locheed Mrtin"
"L'Or¨¦al,L'Or¨¦al,L'Oreal,L'Oreal"
"Nordea Bank,Nordea Bnk,Nrdea Bank,Nrdea Bnk"
"Eli Lilly,Eli Lly,Eli Lily,Eli Lly"
"KKR,KR,KR,KR"
"Philip Morris International,Philip Morris Internatioal,Philp Morris International,Philp Morris Internatioal"
"NatWest Group,NatWest Grup,NatWst Group,NatWst Grup"
"Valero Energy,Valero Energey,Vlero Energy,Vlero Energey"
"Enbridge,Enbrdge,Enbrige,Enbrige"
"JD.com,JD.cm,J.com,J.cm"
"Bank of New York Mellon,Bank of New York Melon,Bnk of New York Mellon,Bnk of New York Melon"
"Vale,Vale,Vle,Vle"
"GSK,GS,GS,GS"
"Prudential Financial,Prudential Financal,Prdential Financial,Prdential Financal"
"Lowe's,Lowe's,Low's,Low's"
"Charter Communications,Charter Communicatons,Charer Communications,Charer Communicatons"
"Honeywell International,Honeywell Internatioal,Honeywel International,Honeywel Internatioal"
"McKesson,McKeson,McKesson,McKeson"
"Duke Energy,Duke Energey,Dke Energy,Dke Energey"
"Qualcomm,Qualcom,Qualcmm,Qualcom"
"HCA Healthcare,HCA Helthcare,CA Healthcare,CA Helthcare"
"Medtronic,Medtrnic,Medtrnic,Medtrnic"
"Amgen,Amgen,Amgn,Amgn"
"ENGIE,ENGI,ENIE,ENIE"
"Southern Company,Southern Compny,Southrn Company,Southrn Compny"
"CaixaBank,CaixaBnk,CaixBank,CaixBnk"
"Manulife,Manlfe,Manlife,Manlfe"
"Danaher,Danher,Danaher,Danher"
"Mondelez International,Mondelez Internatioal,Mondelez Internationl,Mondelez Internationl"
"Schneider Electric,Schneider Elecric,Schneider Elctric,Schneider Elctric"
"Target,Trget,Taret,Trget"
"Deutsche Post,Deutsche Pos,Detusche Post,Detusche Pos"
"KDDI,KDI,KDD,KDD"
"National Grid,Natonal Grid,Nationl Grid,Nationl Grid"
"Midea Group,Midea Grup,Mida Group,Mida Grup"
"Novo Nordisk,Novo Nordsk,Nvo Nordisk,Nvo Nordsk"
"Oil & Natural Gas,Oil & Natural Gs,Ol & Natural Gas,Ol & Natural Gs"
"Am¨¦rica M¨®vil,Am¨¦rica M¨®vl,Am¨¦rca M¨®vil,Am¨¦rca M¨®vl"
"BlackRock,BlackRck,BlckRock,BlckRck"
"PDD Holdings,PDD Holdngs,PD Holdings,PD Holdngs"
"PICC,PIC,PCC,PCC"
"Netflix,Netlix,Netfix,Netfix"
"Brookfield Corporation,Brookfield Corpration,Brookfeld Corporation,Brookfeld Corpration"
"Qatar National Bank,Qatar Natonal Bank,Qatr National Bank,Qatr Natonal Bank"
"International Holding Company,International Holdng Company,Interntional Holding Company,Interntional Holdng Company"
"Travelers,Travelrs,Trvelers,Trvelrs"
"Volvo Group,Volvo Grup,Vo Group,Vo Grup"
"Union Pacific,Union Pacfic,Unon Pacific,Unon Pacfic"
"Oversea-Chinese Banking,Oversea-Chinese Bnking,Overse-Chinese Banking,Overse-Chinese Bnking"
"Swiss Re,Swiss Re,Swis Re,Swis Re"
"China Pacific Insurance,China Pacific Insrance,Chna Pacific Insurance,"
"McDonald's,McDonlad's,McDonlad's,McDonlad's"
"Banco Bradesco,Banco Bradeso,Banco Bradsco,Banco Bradsco"
"Centene,Cetene,Centne,Centne"
"PayPal,PayPal,Paypl,Paypl"
"Japan Post Holdings,Japan Post Holdngs,Japn Post Holdings,Japn Post Holdngs"
"Standard Chartered,Standard Chatered,Stndard Chartered,Stndard Chatered"
"China Everbright Bank,China Everbright Bnk,Chna Everbright Bank,Chna Everbright Bnk"
"Suncor Energy,Suncor Energey,Suncr Energy,Suncr Energey"
"SAP,SAP,SP,SP"
"Mastercard,Matercard,Masercard,Masercard"
"The Saudi National Bank,The Saudi National Bnk,The Sudi National Bank,The Sudi National Bnk"
"China Resources Land,China Resources Lnd,Chna Resources Land,Chna Resources Lnd"
"Delta Air Lines,Delta Air Lnes,Dlta Air Lines,Dlta Air Lnes"
"KIA,KIA,KA,KA"
"ASML Holding,ASML Holdng,AML Holding,AML Holdng"
"General Dynamics,General Dynamcs,Genral Dynamics,Genral Dynamcs"
"Daimler Truck Holding,Daimler Truck Holdng,Dmler Truck Holding,Dmler Truck Holdng"
"Nike,Nke,Nike,Nke"
"United Overseas Bank,United Overseas Bnk,Unted Overseas Bank,Unted Overseas Bnk"
"KBC Group,KBC Grup,KBC Group,KBC Grup"
"First Abu Dhabi Bank,First Abu Dhabi Bnk,Frst Abu Dhabi Bank,Frst Abu Dhabi Bnk"
"PTT,PT,PT,PT"
"Canadian Natural Resources,Canadian Natural Resouces,Canadin Natural Resources,Canadin Natural Resouces"
"Aflac,Aflc,Aflac,Aflc"
"Dai-ichi Life Insurance,Dai-ichi Life Insrance,Dai-chi Life Insurance,Dai-chi Life Insrance"
"Occidental Petroleum,Occidental Petoleum,Occidntal Petroleum,Occidntal Petoleum"
"China Minsheng Bank,China Minsheng Bnk,Chna Minsheng Bank,Chna Minsheng Bnk"
"Soci¨¦t¨¦ G¨¦n¨¦rale,Soci¨¦t¨¦ G¨¦nrale,Soct¨¦ G¨¦n¨¦rale,Soct¨¦ G¨¦nrale"
"KB Financial Group,KB Financal Group,KB Fnancial Group,KB Fnancial Group"
"Inditex,Indtex,Inditx,Inditx"
"Al Rajhi Bank,Al Rajhi Bnk,Al Raji Bank,Al Raji Bnk"
"MS&AD Insurance,MS&AD Insrance,MSAD Insurance,MSAD Insrance"
"Air Liquide,Air Lquide,Ar Liquide,Ar Lquide"
"Fiserv,Fisrve,Fsirv,Fsirv"
"China Railway Group,China Railway Grup,Chna Railway Group,Chna Railway Grup"
"Orange,Oange,Ornge,Ornge"
"Safran,Safrn,Safran,Safrn"
"Indian Oil,Indian Oi,Indan Oil,Indan Oi"
"Emirates NBD,Emirates NBD,Emrates NBD,Emrates NBD"
"EssilorLuxottica,EssilorLuxotica,EsilorLuxottica,EsilorLuxotica"
"Cencora,Cencra,Cencora,Cencra"
"SLB,SB,SL,SL"
"Saint-Gobain,Saint-Goban,Sant-Gobain,Sant-Goban"
"Danske Bank,Danske Bnk,Danske Bank,Dnske Bnk"
"Macquarie Group,Macquarie Grup,Mcquarie Group,Mcquarie Grup"
"Zijin Mining Group,Zijin Mining Grup,Zin Mining Group,Zin Mining Grup"
"TJX Cos,TJX Cs,TJ Cos,TJ Cs"
"Banorte,Banorte,Banorte,Banorte"
"Kweichow Moutai,Kweichow Mouta,Kweichw Moutai,Kweichw Mouta"
"Fubon Financial,Fubon Financal,Fbon Financial,Fbon Financal"
"SAIC Motor,SAIC Mtor,SIC Motor,SIC Mtor"
"Automatic Data Processing,Automatic Data Procesing,Automtic Data Processing,Automtic Data Procesing"
"Kraft Heinz Company,Kraft Heinz Comany,Krat Heinz Company,Krat Heinz Comany"
"Holcim,Holim,Hoclim,Hoclim"
"ABB,AB,AB,AB"
"EOG Resources,EOG Resouces,EG Resources,EG Resouces"
"Applied Materials,Applied Materils,Aplied Materials,Aplied Materils"
"E.ON,EON,E.ON,EON"
"Denso,Dens,Dnso,Dnso"
"DNB Bank,DNB Bnk,DNB Bank,DNB Bnk"
"Archer Daniels Midland,Archer Daniels Midlan,Acher Daniels Midland,Acher Daniels Midlan"
"Marsh & McLennan,Marsh & McLenan,Mrsh & McLennan,Mrsh & McLenan"
"Tata Motors,Tata Mtors,Ta Motors,Ta Mtors"
"Sumitomo,Sumitmo,Sumiomo,Sumiomo"
"Paccar,Pacar,Pacar,Pacar"
"Fairfax Financial,Fairfax Financal,Fairfx Financial,Fairfx Financal"
"PG&E,PG&E,PE&G,PE&G"
"SEB AB,SE AB,SB AB,SB AB"
"Allstate,Allstat,Alstate,Alstate"
"Kroger,Krogr,Kroger,Krogr"
"Erste Group Bank,Erste Group Bnk,Erste Grup Bank,Erste Grup Bnk"
"Axis Bank,Axis Bnk,Axs Bank,Axs Bnk"
"Humana,Humnana,Humna,Humna"
"Ameriprise Financial,Ameriprise Financal,Amriprise Financial,Amriprise Financal"
"Marubeni,Marbeni,Mrubeni,Mrubeni"
"Bank Of Jiangsu,Bank Of Jiagsu,Bnk Of Jiangsu,Bnk Of Jiagsu"
"CRH,CR,CR,CR"
"China Unicom,China Uncom,Chna Unicom,Chna Uncom"
"Sun Life Financial,Sun Life Financal,Sn Life Financial,Sn Life Financal"
"American Electric,American Electrci,Amercan Electric,Amercan Electrci"
"Banco Btg Pactual,Banco Btg Pactul,Bnco Btg Pactual,Bnco Btg Pactul"
"Northrop Grumman,Northrop Gruman,Nothrop Grumman,Nothrop Gruman"
"Shinhan Financial Group,Shinhan Financal Group,Shinhn Financial Group,Shinhn Financal Group"
"Couche Tard,Couche Tard,Cuche Tard,Cuche Tard"
"Xiaomi,Xaomi,Xiaoi,Xiaoi"
"CK Hutchison,CK Hutchson,CK Htchison,CK Htchson"
"Bank Rakyat Indonesia,Bank Rakyat Indoesia,Bnk Rakyat Indonesia,Bnk Rakyat Indoesia"
"Ko? Holding,Ko Holding,Koc Holding,Koc Holding"
"Merck KGaA, Darmstadt, Germany and its affiliates,Merck KGaA, Darmstadt, Germany and its affilates,Merck KGa, Darmstadt, Germany and its affiliates,Merck KGa, Darmstadt, Germany and its affilates"
"Commerzbank,Commerbank,Comerzbank,Comerzbank"
"Meituan,Meitun,Meitun,Meitun"
"Seven & I Holdings,Seven & I Holdngs,Sevn & I Holdings,Sevn & I Holdngs"
"Diageo,Diago,Diage,Diage"
"Eaton,Eton,Eton,Eton"
"Cathay Financial,Cathay Financal,Cthy Financial,Cthy Financal"
"Ecopetrol,Ecopetol,Ecopetrol,Ecopetol"
"Talanx,Talnx,Talnx,Talnx"
"Starbucks,Starbcks,Starbuks,Starbcks"
"Altria Group,Altria Grup,Altra Group,Altra Grup"
"Exelon,Exlon,Exeln,Exeln"
"D.R. Horton,D.R. Hortn,DR. Horton,DR. Hortn"
"National Bank of Canada,National Bank of Canda,Natonal Bank of Canada,Natonal Bank of Canda"
"Discover Financial Services,Discover Financal Services,Dicover Financial Services,Dicover Financal Services"
"Nippon Steel,Nipon Steel,Nippon Stel,Nipon Stel"
"Royal Ahold Delhaize N.V.,Royal Ahold Delhaize N. V.,Royal Ahold DelhaizeN.V.,Royal Ahold DelhaizeN. V."
"Lennar,Lenar,Lennr,Lenr"
"Stryker,Strker,Strykr,Strkr"
"Richemont,Richemnt,Richemont,Richemnt"
"Huaxia Bank,Huaxia Bnk,Huxia Bank,Huxia Bnk"
"Power Corp of Canada,Power Corp of Canda,Pwer Corp of Canada,Pwer Corp of Canda"
"Repsol,Repsl,Repol,Repol"
"Bank of Ningbo,Bank of Ningb,Bnk of Ningbo,Bnk of Ningb"
"Gree Electric Appliances,Gree Electric Applinces,Gre Electric Appliances,Gre Electric Applinces"
"Cenovus Energy,Cenovus Energey,Cnovus Energy,Cnovus Energey"
"Texas Instruments,Texas Intruments,Texs Instruments,Texs Intruments"
"RWE Group,RWE Grup,RW Group,RW Grup"
"Constellation Energy,Constellation Energey,Constelation Energy,Constelation Energey"
"M?ller-Maersk,M?ller-Maesk,M?ler-Maersk,M?ler-Maesk"
"Renault,Renalt,Renult,Renult"
"Nissan Motor,Nisan Motor,Nissan Mtor,Nisan Mtor"
"Panasonic,Panasonc,Panasnic,Panasnic"
"Advanced Micro Devices,Advanced Micro Devics,Advnced Micro Devices,Advnced Micro Devics"
"Hartford Financial Services,Hartford Financal Services,Harford Financial Services,Harford Financal Services"
"Adobe,Adbe,Adbe,Adbe"
"Sompo,Sompo,Sompo,Sompo"
"Uber,Ubr,Uber,Ubr"
"Bank of Beijing,Bank of Bejing,Bnk of Beijing,Bnk of Bejing"
"Vodafone,Vodafne,Vodfone,Vodfone"
"China Railway Construction,China Railway Constrction,Chna Railway Construction,Chna Railway Constrction"
"Poly Developments & Holdings Group,Poly Developments & Holdings Grup,Poly Devlopments & Holdings Group,Poly Devlopments & Holdings Grup"
"Japan Tobacco,Japn Tobacco,Japan Tobbaco,Japn Tobbaco"
"Freeport-McMoRan,Freeport-McMoran,Freport-McMoRan,Freport-McMoran"
"Fannie Mae,Fanie Mae,Fane Mae,Fane Mae"
"Nucor,Nucor,Nucor,Nucor"
"Booking Holdings,Booking Holdngs,Boking Holdings,Boking Holdngs"
"Canadian National Railway,Canadian National Rilway,Canadin National Railway,Canadin National Rilway"
"Corebridge Financial,Corebridge Financal,Corebridg Financial,Corebridg Financal"
"Tesco,Tescco,Tecco,Tecco"
"United Airlines Holdings,United Airlines Holdngs,Unted Airlines Holdings,Unted Airlines Holdngs"
"BAE Systems,BAE Sytems,BA Systems,BA Sytems"
"HP,HP,HP,HP"
"S&P Global,S&P Gobal,S&P Glbal,S&P Glbal"
"Cosco Shipping,Cosco Shiping,Csco Shipping,Csco Shiping"
"Freddie Mac,Freddic Mac,Frede Mac,Frede Mac"
"Sempra,Sempa,Sempr,Sempr"
"China Communications Construction,China Communications Constrction,Chna Communications Construction,Chna Communications Constrction"
"Kering,Kering,Kerng,Kerng"
"State Street,State Stret,Stat Street,Stat Stret"
"Saudi Telecom,Sudi Telecom,Saudi Teleom,Sudi Teleom"
"China Yangtze Power,China Yangtze Pwer,Chna Yangtze Power,Chna Yangtze Pwer"
"NTPC,NPC,NTC,NTC"
"Bank Mandiri,Bank Mandri,Bnk Mandiri,Bnk Mandri"
"Aviva,Avva,Avia,Avia"
"Swedbank,Swedbnk,Swdbank,Swdbank"
"Baidu,Bidu,Bidu,Bidu"
"First Citizens Bank,First Citizens Bnk,Frst Citizens Bank,Frst Citizens Bnk"
"Svenska Handelsbanken,Svenska Handelsbnken,Svenska Handelsbaken,Svenska Handelsbaken"
"Orix,Orx,Orix,Orx"
"Dow,Dow,Dow,Dow"
"IntercontinentalExchange,IntercontinentalExchnge,IntercontnentalExchange,IntercontnentalExchnge"
"Power Construction Corporation of China,Power Construction Corporaton of China,Pwer Construction Corporation of China,Pwer Construction Corporaton of China"
"Toyota Tsusho,Toyota Tusho,Totota Tsusho,Totota Tusho"
"Takeda Pharmaceutical,Takeda Pharmaceutcal,Takda Pharmaceutical,Takda Pharmaceutcal"
"Poste Italiane,Poste Itlaiane,Post Italiane,Post Itlaiane"
"Mitsubishi Electric,Mitsubshi Electric,Mitsubi Electric,Mitsubi Electric"
"Citic Securities,Citic Scurities,Ctic Securities,Ctic Scurities"
"Haier Smart Home,Haier Smart Hme,Hier Smart Home,Hier Smart Hme"
"Kinder Morgan,Kinder Mrgan,Kindr Morgan,Kindr Mrgan"
"Toyota Industries,Toyota Industris,Totota Industries,Totota Industris"
"Rolls-Royce Holdings,Rolls-Royce Holdngs,Rols-Royce Holdings,Rols-Royce Holdngs"
"Fortescue Metals Group,Fortescue Metals Grup,Fortesce Metals Group,Fortesce Metals Grup"
"Waste Management,Waste Managemnt,WaSte Management,WaSte Managemnt"
"Cheniere Energy,Cheniere Energey,Chenire Energy,Chenire Energey"
"TAQA,TAQ,TAQ,TAQ"
"CSX,CS,CS,CS"
"Johnson Controls International,Johnson Controls Interational,Johnsn Controls International,Johnsn Controls Interational"
"Larsen & Toubro,Larsen & Toubr,Larsn & Toubro,Larsn & Toubr"
"Femsa,Fmsa,Femsa,Fmsa"
"Dominion Energy,Dominion Energey,Dominon Energy,Dominon Energey"
"LyondellBasell Industries,LyondellBasell Industris,LyondelBasell Industries,LyondelBasell Industris"
"Shin-Etsu Chemical,Shin-Etsu Chemcal,Shin-Etu Chemical,Shin-Etu Chemcal"
"Investor AB,Investor A,Invstor AB,Invstor A"
"M&T Bank,M&T Bnk,M& Bank,M& Bnk"
"ORLEN Spolka Akcyjna,ORLEN Spolka Akcyna,ORLN Spolka Akcyjna,ORLN Spolka Akcyna"
"Arch Capital Group,Arch Capial Group,Arch Capitl Group,Arch Capitl Group"
"Synchrony Financial,Synchrony Financal,Syncrony Financial,Syncrony Financal"
"Fifth Third Bank,Fifth Third Bnk,Fith Third Bank,Fith Third Bnk"
"Becton Dickinson,Becton Dicknson,Bcton Dickinson,Bcton Dicknson"
"ENEOS Holdings,ENEOS Holdngs,ENOS Holdings,ENOS Holdngs"
"Hana Financial Group,Hana Financal Group,Hana Fnancial Group,Hana Fnancial Group"
"Posco,Poso,Psco,Psco"
