ngram,Mobile Marketing,Mobil Marketing
1693,0.0,0.0
1694,0.0,0.0
1695,0.0,0.0
1696,0.0,0.0
1697,0.0,0.0
1698,0.0,0.0
1699,0.0,0.0
1700,0.0,0.0
1701,0.0,0.0
1702,0.0,0.0
1703,0.0,0.0
1704,0.0,0.0
1705,0.0,0.0
1706,0.0,0.0
1707,0.0,0.0
1708,0.0,0.0
1709,0.0,0.0
1710,0.0,0.0
1711,0.0,0.0
1712,0.0,0.0
1713,0.0,0.0
1714,0.0,0.0
1715,0.0,0.0
1716,0.0,0.0
1717,0.0,0.0
1718,0.0,0.0
1719,0.0,0.0
1720,0.0,0.0
1721,0.0,0.0
1722,0.0,0.0
1723,0.0,0.0
1724,0.0,0.0
1725,0.0,0.0
1726,0.0,0.0
1727,0.0,0.0
1728,0.0,0.0
1729,0.0,0.0
1730,0.0,0.0
1731,0.0,0.0
1732,0.0,0.0
1733,0.0,0.0
1734,0.0,0.0
1735,0.0,0.0
1736,0.0,0.0
1737,0.0,0.0
1738,0.0,0.0
1739,0.0,0.0
1740,0.0,0.0
1741,0.0,0.0
1742,0.0,0.0
1743,0.0,0.0
1744,0.0,0.0
1745,0.0,0.0
1746,0.0,0.0
1747,0.0,0.0
1748,0.0,0.0
1749,0.0,0.0
1750,0.0,0.0
1751,0.0,0.0
1752,0.0,0.0
1753,0.0,0.0
1754,0.0,0.0
1755,0.0,0.0
1756,0.0,0.0
1757,0.0,0.0
1758,0.0,0.0
1759,0.0,0.0
1760,0.0,0.0
1761,0.0,0.0
1762,0.0,0.0
1763,0.0,0.0
1764,0.0,0.0
1765,0.0,0.0
1766,0.0,0.0
1767,0.0,0.0
1768,0.0,0.0
1769,0.0,0.0
1770,0.0,0.0
1771,0.0,0.0
1772,0.0,0.0
1773,0.0,0.0
1774,0.0,0.0
1775,0.0,0.0
1776,0.0,0.0
1777,0.0,0.0
1778,0.0,0.0
1779,0.0,0.0
1780,0.0,0.0
1781,0.0,0.0
1782,0.0,0.0
1783,0.0,0.0
1784,0.0,0.0
1785,0.0,0.0
1786,0.0,0.0
1787,0.0,0.0
1788,0.0,0.0
1789,0.0,0.0
1790,0.0,0.0
1791,0.0,0.0
1792,0.0,0.0
1793,0.0,0.0
1794,0.0,0.0
1795,0.0,0.0
1796,0.0,0.0
1797,0.0,0.0
1798,0.0,0.0
1799,0.0,0.0
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,0.0,0.0
1836,0.0,0.0
1837,0.0,0.0
1838,0.0,0.0
1839,0.0,0.0
1840,0.0,0.0
1841,0.0,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,0.0,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,0.0
1854,0.0,0.0
1855,0.0,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,0.0,0.0
1861,0.0,0.0
1862,0.0,0.0
1863,0.0,0.0
1864,0.0,0.0
1865,0.0,0.0
1866,0.0,0.0
1867,0.0,0.0
1868,0.0,0.0
1869,0.0,0.0
1870,0.0,0.0
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,0.0
1874,0.0,0.0
1875,0.0,0.0
1876,0.0,0.0
1877,0.0,0.0
1878,0.0,0.0
1879,0.0,0.0
1880,0.0,0.0
1881,0.0,0.0
1882,0.0,0.0
1883,0.0,0.0
1884,0.0,0.0
1885,0.0,0.0
1886,0.0,0.0
1887,0.0,0.0
1888,0.0,0.0
1889,0.0,0.0
1890,0.0,0.0
1891,0.0,0.0
1892,0.0,0.0
1893,0.0,0.0
1894,0.0,0.0
1895,0.0,0.0
1896,0.0,0.0
1897,0.0,0.0
1898,0.0,0.0
1899,0.0,0.0
1900,0.0,0.0
1901,0.0,0.0
1902,0.0,0.0
1903,0.0,0.0
1904,0.0,0.0
1905,0.0,0.0
1906,0.0,0.0
1907,0.0,0.0
1908,0.0,0.0
1909,0.0,0.0
1910,0.0,0.0
1911,0.0,0.0
1912,0.0,0.0
1913,0.0,0.0
1914,0.0,0.0
1915,0.0,0.0
1916,0.0,0.0
1917,0.0,0.0
1918,0.0,0.0
1919,0.0,0.0
1920,0.0,0.0
1921,0.0,0.0
1922,0.0,0.0
1923,0.0,0.0
1924,0.0,0.0
1925,0.0,0.0
1926,0.0,0.0
1927,0.0,0.0
1928,0.0,0.0
1929,0.0,0.0
1930,0.0,0.0
1931,0.0,0.0
1932,0.0,0.0
1933,0.0,0.0
1934,0.0,0.0
1935,0.0,0.0
1936,0.0,0.0
1937,0.0,0.0
1938,0.0,0.0
1939,0.0,0.0
1940,0.0,0.0
1941,0.0,0.0
1942,0.0,0.0
1943,0.0,0.0
1944,0.0,0.0
1945,0.0,0.0
1946,0.0,0.0
1947,0.0,0.0
1948,0.0,0.0
1949,0.0,0.0
1950,0.0,0.0
1951,9.44172517947095e-11,0.0
1952,9.44172517947095e-11,0.0
1953,1.2424835565167617e-10,0.0
1954,1.2424835565167617e-10,0.0
1955,1.2424835565167617e-10,1.3783769760498744e-11
1956,1.2424835565167617e-10,1.3783769760498744e-11
1957,1.2424835565167617e-10,2.5906366337860984e-11
1958,2.983110385696668e-11,4.855080424994083e-11
1959,2.983110385696668e-11,4.855080424994083e-11
1960,2.0144108603403765e-11,4.855080424994083e-11
1961,2.0144108603403765e-11,6.996341799554123e-11
1962,2.985003315953654e-11,7.559149734730803e-11
1963,4.8701104656981695e-11,8.501703309603061e-11
1964,4.8701104656981695e-11,7.289443651866837e-11
1965,5.708964055463537e-11,5.024999860658852e-11
1966,6.546073702936742e-11,6.699219155605261e-11
1967,7.057026490953078e-11,6.699219155605261e-11
1968,8.743332744317759e-11,4.5579577810452217e-11
1969,1.0336656828099525e-10,3.471411749326034e-11
1970,1.262449143240347e-10,3.3634465252634676e-11
1971,1.3476637960347608e-10,3.3634465252634676e-11
1972,2.1744586984181628e-10,6.675011039934477e-11
1973,2.719341973822509e-10,5.0007917449880675e-11
1974,2.544345220623079e-10,5.0007917449880675e-11
1975,2.992598837387688e-10,5.771897047614414e-11
1976,4.18860157867597e-10,1.0268185012580438e-10
1977,7.894792765956409e-10,2.0887722404891055e-10
1978,9.284314002124181e-10,3.1754197584879916e-10
1979,8.605546900075645e-10,3.2307852325980894e-10
1980,8.051498674126784e-10,3.2307852325980894e-10
1981,8.19168553426294e-10,3.2307852325980894e-10
1982,7.997723663888401e-10,3.2241617659419953e-10
1983,6.756517557739348e-10,3.041049550075606e-10
1984,2.9127068713290834e-10,2.0354743139010852e-10
1985,1.7132717764331166e-10,9.488267959021992e-11
1986,1.8098732334254867e-10,1.219334102932544e-10
1987,2.117067414232819e-10,1.982814492952821e-10
1988,2.9544229959313894e-10,2.774126033056046e-10
1989,3.480972315950126e-10,3.9696012251098725e-10
1990,5.170380691048899e-10,4.5679190886176764e-10
1991,6.016345437715692e-10,5.803863302654224e-10
1992,6.225543196038328e-10,6.712298058645213e-10
1993,7.797712317117852e-10,6.791017351634057e-10
1994,8.220943053289481e-10,7.20403292575611e-10
1995,8.808564274812422e-10,7.751220379833715e-10
1996,8.579362775762434e-10,7.685708498199923e-10
1997,8.486112764874828e-10,6.954482485919757e-10
1998,8.625609591663062e-10,5.853730555838155e-10
1999,1.5781865100475807e-09,4.996922518620193e-10
2000,2.110051062447533e-09,4.3106214530392554e-10
2001,2.671985347265807e-09,3.134125488896926e-10
2002,3.6278473241375356e-09,1.795626494716096e-10
2003,5.4186014722798095e-09,6.443260211089604e-11
2004,7.339096980934252e-09,4.252537013003734e-11
2005,1.1079755842960789e-08,1.5022407920791838e-11
2006,1.467227679035383e-08,9.859736043489014e-12
2007,2.0213924248732188e-08,4.914990041943972e-12
2008,2.3365239140308144e-08,4.914990041943972e-12
2009,2.7557638964432433e-08,4.914990041943972e-12
2010,2.9565054150891357e-08,0.0
2011,3.203644562331322e-08,4.4094712999978974e-12
2012,3.1559416413529107e-08,9.484536172316942e-12
2013,3.1703011517590444e-08,9.484536172316942e-12
2014,2.8551257865875153e-08,9.484536172316942e-12
2015,2.626595360258729e-08,9.484536172316942e-12
2016,2.376142698474431e-08,1.5433700448605083e-11
2017,2.3206435736019177e-08,1.800598385670593e-11
2018,2.1446052578255605e-08,1.543392080805006e-11
2019,2.0874814987692503e-08,1.0411037483504249e-11
