ngram,Base Class,Based Class
1693,0.0,0.0
1694,0.0,0.0
1695,0.0,0.0
1696,0.0,0.0
1697,0.0,0.0
1698,0.0,0.0
1699,0.0,0.0
1700,0.0,0.0
1701,0.0,0.0
1702,0.0,0.0
1703,0.0,0.0
1704,0.0,0.0
1705,0.0,0.0
1706,0.0,0.0
1707,0.0,0.0
1708,0.0,0.0
1709,0.0,0.0
1710,0.0,0.0
1711,0.0,0.0
1712,0.0,0.0
1713,0.0,0.0
1714,0.0,0.0
1715,0.0,0.0
1716,0.0,0.0
1717,0.0,0.0
1718,0.0,0.0
1719,0.0,0.0
1720,0.0,0.0
1721,0.0,0.0
1722,0.0,0.0
1723,0.0,0.0
1724,0.0,0.0
1725,0.0,0.0
1726,0.0,0.0
1727,0.0,0.0
1728,0.0,0.0
1729,0.0,0.0
1730,0.0,0.0
1731,0.0,0.0
1732,0.0,0.0
1733,0.0,0.0
1734,0.0,0.0
1735,0.0,0.0
1736,0.0,0.0
1737,0.0,0.0
1738,0.0,0.0
1739,0.0,0.0
1740,0.0,0.0
1741,0.0,0.0
1742,0.0,0.0
1743,0.0,0.0
1744,0.0,0.0
1745,0.0,0.0
1746,0.0,0.0
1747,0.0,0.0
1748,0.0,0.0
1749,0.0,0.0
1750,0.0,0.0
1751,0.0,0.0
1752,0.0,0.0
1753,0.0,0.0
1754,0.0,0.0
1755,0.0,0.0
1756,0.0,0.0
1757,0.0,0.0
1758,0.0,0.0
1759,0.0,0.0
1760,0.0,0.0
1761,0.0,0.0
1762,0.0,0.0
1763,0.0,0.0
1764,0.0,0.0
1765,0.0,0.0
1766,0.0,0.0
1767,0.0,0.0
1768,0.0,0.0
1769,0.0,0.0
1770,0.0,0.0
1771,0.0,0.0
1772,0.0,0.0
1773,0.0,0.0
1774,0.0,0.0
1775,0.0,0.0
1776,0.0,0.0
1777,0.0,0.0
1778,0.0,0.0
1779,0.0,0.0
1780,0.0,0.0
1781,0.0,0.0
1782,0.0,0.0
1783,0.0,0.0
1784,0.0,0.0
1785,0.0,0.0
1786,0.0,0.0
1787,0.0,0.0
1788,0.0,0.0
1789,0.0,0.0
1790,0.0,0.0
1791,0.0,0.0
1792,0.0,0.0
1793,0.0,0.0
1794,0.0,0.0
1795,0.0,0.0
1796,0.0,0.0
1797,0.0,0.0
1798,0.0,0.0
1799,0.0,0.0
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,0.0,0.0
1836,0.0,0.0
1837,0.0,0.0
1838,0.0,0.0
1839,0.0,0.0
1840,0.0,0.0
1841,0.0,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,0.0,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,0.0
1854,0.0,0.0
1855,0.0,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,0.0,0.0
1861,0.0,0.0
1862,0.0,0.0
1863,0.0,0.0
1864,0.0,0.0
1865,0.0,0.0
1866,0.0,0.0
1867,0.0,0.0
1868,0.0,0.0
1869,0.0,0.0
1870,0.0,0.0
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,0.0
1874,0.0,0.0
1875,0.0,0.0
1876,3.649753515284309e-11,0.0
1877,3.649753515284309e-11,0.0
1878,3.649753515284309e-11,0.0
1879,3.649753515284309e-11,0.0
1880,3.649753515284309e-11,0.0
1881,3.649753515284309e-11,0.0
1882,3.649753515284309e-11,0.0
1883,0.0,0.0
1884,0.0,0.0
1885,0.0,0.0
1886,0.0,0.0
1887,0.0,0.0
1888,0.0,0.0
1889,2.4886029744867042e-11,0.0
1890,2.4886029744867042e-11,0.0
1891,4.923317111136884e-11,0.0
1892,4.923317111136884e-11,0.0
1893,4.923317111136884e-11,0.0
1894,4.923317111136884e-11,0.0
1895,4.923317111136884e-11,0.0
1896,2.43471413665018e-11,0.0
1897,4.655379712678201e-10,1.7647633354656023e-11
1898,4.411908299013183e-10,1.7647633354656023e-11
1899,4.411908299013183e-10,1.7647633354656023e-11
1900,4.411908299013183e-10,1.7647633354656023e-11
1901,4.411908299013183e-10,1.7647633354656023e-11
1902,4.411908299013183e-10,1.7647633354656023e-11
1903,4.411908299013183e-10,1.7647633354656023e-11
1904,0.0,0.0
1905,5.7885870699944266e-11,0.0
1906,5.7885870699944266e-11,0.0
1907,5.7885870699944266e-11,0.0
1908,9.698170044813992e-11,0.0
1909,1.1006312726293186e-10,0.0
1910,1.1006312726293186e-10,0.0
1911,1.1006312726293186e-10,0.0
1912,7.955400029212103e-11,0.0
1913,9.313046068453496e-11,0.0
1914,9.313046068453496e-11,0.0
1915,5.403463093633931e-11,0.0
1916,5.5258079857876756e-11,0.0
1917,5.5258079857876756e-11,0.0
1918,6.290212121015263e-10,0.0
1919,6.151428662083878e-10,0.0
1920,5.777318550147039e-09,0.0
1921,5.8840518469509866e-09,0.0
1922,5.8840518469509866e-09,0.0
1923,1.4849046053271625e-08,0.0
1924,1.4849046053271625e-08,0.0
1925,1.4275282921027976e-08,0.0
1926,1.4261784523191982e-08,6.5284460377362e-11
1927,9.17239357483319e-09,6.5284460377362e-11
1928,9.130596398002463e-09,6.5284460377362e-11
1929,9.178625224949753e-09,6.5284460377362e-11
1930,2.769099552831936e-10,6.5284460377362e-11
1931,2.769099552831936e-10,6.5284460377362e-11
1932,6.363523359047868e-10,6.5284460377362e-11
1933,6.583600034185519e-10,0.0
1934,6.146803879384219e-10,0.0
1935,6.130875668253211e-10,0.0
1936,5.650587398780311e-10,0.0
1937,4.87474927487622e-10,0.0
1938,5.494614148591839e-10,0.0
1939,1.9001903423759055e-10,0.0
1940,3.3965081540949475e-10,0.0
1941,3.756370532086757e-10,0.0
1942,4.307816801686824e-10,0.0
1943,4.511839632062983e-10,0.0
1944,4.511839632062983e-10,0.0
1945,5.497753442971844e-10,0.0
1946,5.969772136944179e-10,0.0
1947,5.670183211847757e-10,0.0
1948,7.646371472499628e-10,0.0
1949,7.108251368467425e-10,0.0
1950,1.0120837739308846e-09,0.0
1951,1.137973437703721e-09,0.0
1952,1.0370400688979637e-09,0.0
1953,1.109162614928597e-09,0.0
1954,1.0088906654548424e-09,0.0
1955,8.290904114043635e-10,0.0
1956,8.925634160344182e-10,0.0
1957,8.254770161071028e-10,0.0
1958,9.260317393852294e-10,1.1322218956039925e-11
1959,1.0276075942553371e-09,1.1322218956039925e-11
1960,1.109724264861508e-09,1.1322218956039925e-11
1961,1.3038544053957578e-09,1.1322218956039925e-11
1962,1.2461917133142565e-09,1.1322218956039925e-11
1963,1.3065535082417463e-09,1.1322218956039925e-11
1964,1.1290305040085563e-09,1.9883498617431374e-11
1965,9.864714759341302e-10,8.561279661391451e-12
1966,9.591886650030445e-10,2.530347261085554e-11
1967,8.08254851936141e-10,2.530347261085554e-11
1968,6.317368215848416e-10,5.902959767814916e-11
1969,6.783770132935883e-10,9.321515285844382e-11
1970,5.900169004162998e-10,1.4329045390702533e-10
1971,7.515664122794061e-10,1.6881503536339944e-10
1972,7.587490794388632e-10,2.6816197080352973e-10
1973,6.483838188575675e-10,2.9856434388289953e-10
1974,6.521542750270726e-10,4.846594197400427e-10
1975,6.625330363694917e-10,4.509332946727491e-10
1976,6.000016911882661e-10,4.855453737486113e-10
1977,5.914840918639998e-10,4.812865740864782e-10
1978,4.382625135817315e-10,4.627242487985152e-10
1979,3.858466800034575e-10,3.6337731335838493e-10
1980,4.442750096383159e-10,3.311419501701123e-10
1981,4.62572765805699e-10,1.450468743129691e-10
1982,5.20050003061101e-10,1.5209558067362317e-10
1983,6.449492527339982e-10,9.03375558882123e-11
1984,6.302267834585556e-10,4.452105450176396e-11
1985,6.756152145673663e-10,1.2535279956894995e-10
1986,9.1948559877153e-10,1.844854309001371e-10
1987,1.0347174228542144e-09,1.6957622805957584e-10
1988,1.4105518182055172e-09,2.2892459554985882e-10
1989,2.429370958369402e-09,2.72514378622603e-10
1990,3.187490224146724e-09,3.0348670402143997e-10
1991,4.667714175494402e-09,3.722757816301428e-10
1992,6.39015327953883e-09,4.757761565673693e-10
1993,7.358403267662286e-09,4.90218377795821e-10
1994,9.093101002325251e-09,6.326363123841463e-10
1995,1.0895802926569331e-08,8.409877437300293e-10
1996,1.1118620500484764e-08,1.120473087328528e-09
1997,1.182285101565737e-08,1.197474119862818e-09
1998,1.2388945234777436e-08,1.436718228513862e-09
1999,1.9911150696470614e-08,1.3917427289987317e-09
2000,2.29721965894214e-08,1.5110129655429967e-09
2001,2.48224001353492e-08,1.5328256124697808e-09
2002,2.648919407631313e-08,1.4287981115706267e-09
2003,3.007007569928126e-08,1.1920590863618535e-09
2004,3.226807329273892e-08,1.3799694561659033e-09
2005,3.6203572457387575e-08,1.2565381433761657e-09
2006,3.099363432568225e-08,1.2731775157957615e-09
2007,3.351249056038341e-08,1.1825115569281358e-09
2008,3.5023488109686696e-08,1.088721882488589e-09
2009,3.472489292935929e-08,9.960938502600364e-10
2010,3.187623891826823e-08,1.0352233197658783e-09
2011,2.981861982728365e-08,7.763946945666638e-10
2012,2.596754519349328e-08,6.780689264042548e-10
2013,2.31103844632636e-08,5.625472587755809e-10
2014,1.7321924783431086e-08,5.196410167242403e-10
2015,1.3733539702290694e-08,5.938452309260458e-10
2016,1.1839486787782301e-08,6.715300736116956e-10
2017,1.1361870037400005e-08,6.288517623298517e-10
2018,1.118345993589287e-08,6.928895179836303e-10
2019,1.0115931758925001e-08,7.151287131912376e-10
