"people,peple,poeple,peoople"
"marriage,mariage,marige,marriag"
"user,use,usr,use"
"combination,combnation,comination,combintion"
"failure,faiure,falure,failre"
"meaning,meanng,mening,meainng"
"medicine,medicne,medine,medciine"
"philosophy,philosohy,philosphy,philosphy"
"teacher,techer,techer,teachr"
"communication,communcation,comunication,communicaton"
"night,nght,nigt,nigh"
"chemistry,chemsitry,cheistry,chmistry"
"disease,diseae,diseas,diseese"
"disk,dsk,dis,diks"
"energy,enrgy,enegy,eneregy"
"nation,naton,natin,naiton"
"road,rod,rad,roadd"
"role,roe,rol,role"
"soup,sop,sup,soup"
"advertising,adverising,advertiing,advertsing"
"location,loation,locaton,locaion"
"success,succes,succss,scucess"
"addition,adition,additon,aditon"
"apartment,aprtment,apartmnt,apartent"
"education,educaton,eduation,educaion"
"math,mat,mth,math"
"moment,moment,momet,momnt"
"painting,paintng,paintiing,paiting"
"politics,poltics,politcs,politis"
"attention,atention,attentoin,attntion"
"decision,decison,decsion,deision"
"event,evnt,evnt,eventt"
"property,proprty,propeerty,proprty"
"shopping,shoping,shoping,shoping"
"student,stuent,studnt,studdent"
"wood,wod,ood,wood"
"competition,competiton,competion,competiton"
"distribution,distrbution,disribution,distrubtion"
"entertainment,entertinment,enterainment,enterntainment"
"office,ofice,offce,ofice"
"population,populaton,poplation,popuulation"
"president,president,presdent,presient"
"unit,unt,uni,unitt"
"category,categoy,cateory,categroy"
"cigarette,cigarete,cigarete,cigarettee"
"context,conext,cotext,conetext"
"introduction,intoduction,itrduction,introduction"
"opportunity,opportunity,opportuity,opportuity"
"performance,performace,perfrmance,performnce"
"driver,drver,diver,driver"
"flight,flght,fligt,fligth"
"length,lenth,lengh,legth"
"magazine,magzine,magazine,magazne"
"newspaper,newspapr,newspper,newspaer"
"relationship,relatonship,relatonship,relatioship"
"teaching,teahing,teachng,teachnig"
"cell,cel,cll,celle"
"dealer,dealer,deler,dealr"
"finding,findig,findng,findng"
"lake,lke,lae,laek"
"member,membrr,membr,memeber"
"message,mesage,mesage,messge"
"phone,pone,phne,phon"
"scene,sene,scne,scnee"
"appearance,appeaance,apperance,apearance"
"association,associaton,associaton,assocition"
"concept,concep,concpt,conecpt"
"customer,customr,custmer,cusomer"
"death,deah,deth,deat"
"discussion,discusson,discuson,discssion"
"housing,housng,housng,houing"
"inflation,infltion,inflatn,inflaion"
"insurance,insurace,insurnce,insurnace"
"mood,mod,mod,moood"
"woman,womn,womn,wman"
"advice,advice,advie,advice"
"blood,blood,bod,blood"
"effort,effot,effrt,effrt"
"expression,expresson,expresion,exression"
"importance,importane,imprtance,importnce"
"opinion,opinion,opinion,opinion"
"payment,paymnt,paymnt,paymnt"
"reality,realty,relity,relity"
"responsibility,responsbility,responsibility,responsbilty"
"situation,sitution,sitution,situaton"
"skill,sill,skll,skil"
"statement,statemnt,statment,statemnt"
"wealth,weath,weath,welth"
"application,aplication,aplication,aplication"
"city,cty,cty,citt"
"county,count,couty,couty"
"depth,deth,deth,dept"
"estate,estte,estte,estate"
"foundation,foudation,fondation,fondation"
"grandmother,grandmoter,grandmotther,grandmoter"
"heart,heat,heat,heaat"
"perspective,perspectve,perspectiv,persective"
"photo,pto,phoo,phoo"
"recipe,recpe,recpe,recpie"
"studio,studoi,studoi,studo"
"topic,tpoic,tpic,toic"
"collection,colection,colection,colecion"
"depression,depresion,depresion,depreson"
"imagination,imaginaton,imaginaton,imaginatin"
"passion,pasion,pasion,pasion"
"percentage,percetage,percentge,percntage"
"resource,resorce,resorce,resouce"
"setting,seting,seting,sting"
"ad,a,d,a"
"agency,agence,agence,agncy"
"college,college,colleege,colege"
"connection,conection,conection,conection"
"criticism,critism,critism,critisism"
"debt,det,debt,debt"
"description,descripton,descripton,desciption"
"memory,memry,mmory,mmory"
"patience,patience,patience,patienc"
"secretary,secretry,secreary,secretry"
"solution,soluton,soluton,soluton"
"administration,adminstration,adminstration,adminstrtion"
"aspect,aspct,aspet,aspct"
"attitude,attitde,attitde,attitud"
"director,directr,directr,direcor"
"personality,personlity,pesonality,personalty"
"psychology,psychlogy,pshchology,pschology"
"recommendation,recomendation,recommendtion,recommendaton"
"response,reponse,response,resonse"
"selection,seletion,seletion,selecton"
"storage,storge,storge,storge"
"version,vesion,vesion,versin"
"alcohol,alcol,alchol,alchohol"
"argument,argment,argment,argment"
"complaint,complint,complnt,complnt"
"contract,contrct,contrct,contrct"
"emphasis,emphsis,emphas,smpahsis"
"highway,highwy,higway,highwy"
"loss,lss,ls,los"
"membership,membership,membershp,membershp"
"possession,possesion,possesion,posesion"
"preparation,prepration,prepration,preperation"
"steak,stak,stek,steek"
"union,unon,unin,unoin"
"agreement,agreemnt,agreemnt,agreement"
"cancer,cacer,caner,caner"
"currency,curency,currency,curency"
"employment,employmnt,emplyment,emploment"
"engineering,engneering,engeneering,engnering"
"entry,entry,etry,etry"
"interaction,interction,interction,interaction"
"mixture,mixtre,mixtue,mixturre"
"preference,preferece,prefence,preference"
"region,regin,regoin,regin"
"republic,rebulic,repubic,rebulic"
"tradition,tradtion,tradtion,trdition"
"virus,virs,virs,vrs"
"actor,acctor,actr,actorr"
"classroom,clasroom,clasroom,classrom"
"delivery,dilivery,delivry,delivry"
"device,devie,devce,deivce"
"difficulty,diffculty,difficuty,diffulty"
"drama,draam,drmaa,draama"
"election,electin,electon,election"
"engine,engin,engie,engne"
"football,fotball,footbal,foootball"
"guidance,guidnce,gidance,guidence"
"hotel,hoel,hotl,hottel"
"owner,oner,owne,oner"
"priority,prioriy,priorty,pririty"
"protection,protetion,protetion,protection"
"suggestion,sugestion,sugestion,sgestion"
"tension,tesion,tension,tensio"
"variation,variation,varition,varation"
"anxiety,anxeity,axiety,anxity"
"atmosphere,atmophere,atmophere,atmoshpere"
"awareness,awarnes,awrness,awarness"
"bath,bat,bath,bat"
"bread,bread,bred,bread"
"candidate,candiate,candate,candiate"
"climate,climte,climte,clmate"
"comparison,comparson,compaison,comparson"
"confusion,confusin,confuson,confusion"
"construction,constructin,constructon,constructio"
"elevator,elevaor,elevaor,elevatr"
"emotion,emoton,emotin,emotion"
"employee,emplotee,employe,emploee"
"employer,emploter,employer,employeer"
"guest,gst,guset,guest"
"height,heigt,heght,heigt"
"leadership,leadership,ledership,leadrsip"
"mall,mal,maall,maal"
"manager,managr,managr,managr"
"operation,operaton,operaton,opration"
"recording,recordng,recordng,recoding"
"sample,sampl,samle,samle"
"transportation,transporttion,transpotation,transprttion"
"charity,charit,chrity,charrity"
"cousin,cosin,cosin,cusin"
"disaster,disater,disater,disater"
"editor,editr,edior,edtor"
"efficiency,effciency,effiency,eficiency"
"excitement,excitment,excitment,exitement"
"extent,extet,exent,extnt"
"feedback,fedback,feeback,feeback"
"guitar,gutar,giitar,guiter"
"homework,homewrk,homwork,homwrk"
"leader,ledr,ledr,leadr"
"mom,mm,mom,omm"
"outcome,otcome,otcome,oucome"
"permission,permision,permision,permision"
"presentation,presenttion,presntation,presentaion"
"promotion,promoton,promoton,promotin"
"reflection,reflectin,refection,refection"
"refrigerator,refrigeratr,refrigertor,refrigertor"
"resolution,resoution,resoultion,resoluton"
"revenue,revenu,reveue,reveenue"
"session,sesion,sesion,ssion"
"singer,snger,snger,siger"
"tennis,tenis,tenis,tennis"
"basket,baket,baket,basket"
"bonus,bonu,bonu,bonu"
"cabinet,cabint,cabinet,cabnet"
"childhood,chldhood,childhod,chldhood"
"church,chuch,chuch,churrch"
"clothes,cloths,clotes,clothes"
"coffee,cofee,cofee,cofee"
"dinner,diner,diner,diner"
"drawing,drawng,drawng,drawing"
"hair,haair,har,hair"
"hearing,hering,hering,hearng"
"initiative,initiave,initiatve,inititive"
judgment
"lab,lb,lab,lba"
"measurement,mesurement,measurment,mesurment"
"mode,mod,moed,mdoe"
"mud,md,mud,mdu"
"orange,ornge,orane,orrange"
"poetry,potry,poety,poetry"
"police,plice,polie,pollice"
"possibility,possibilty,posibility,possibilty"
"procedure,procedre,procedur,proceduer"
"queen,quen,qeen,quean"
"ratio,raton,ratil,rtio"
"relation,relaton,relaton,reltion"
"restaurant,restarant,retaurant,restaurnt"
"satisfaction,satisfacton,satifaction,satisafction"
"sector,secor,secter,secter"
"signature,signatre,signatue,signatuer"
"significance,signficance,significnce,signficance"
"song,sng,soong,songg"
"tooth,toth,tooth,tothh"
"town,twn,town,towm"
"vehicle,vehcle,veicle,veicle"
"volume,volme,volme,volum"
"wife,wif,wfe,wiffe"
"accident,accdent,accient,acciednt"
"airport,airprt,arport,aiport"
"appointment,appontment,apointment,appoitment"
"arrival,arival,arrval,arival"
"assumption,asumption,assumtion,asumption"
"baseball,bseball,basball,basball"
"chapter,chaptr,chpter,capetr"
"committee,comittee,comittee,comitte"
"conversation,converation,conversaton,converation"
"database,datbase,databse,database"
"enthusiasm,enthusiam,enthuism,enthusiam"
"error,eror,eroor,errro"
"explanation,explanaton,explanatin,explanation"
"farmer,famer,famer,farrmer"
"gate,gte,gate,gate"
"girl,gril,gril,girl"
"hall,hal,hll,hal"
"historian,historia,historin,historin"
"hospital,hospitl,hospitl,hospial"
"injury,injur,injry,injruy"
"instruction,instruction,instructon,instrucion"
"maintenance,maintenace,maintnce,mainteance"
"manufacturer,manfacturer,manufactrer,manufaturer"
"meal,mel,meal,meel"
"perception,percepton,perceptin,percepton"
"pie,pe,pi,piee"
"poem,poem,pome,peom"
"presence,presnce,presence,presece"
"proposal,proposl,propoal,propsal"
"reception,recepton,receptin,recepton"
"replacement,replacment,replacemnt,replacemnt"
"revolution,revoluton,revoluton,revoltin"
"river,rver,rivr,rivr"
"son,sonn,sonn,soan"
"speech,spch,spech,spech"
"tea,te,t,aet"
"village,vllage,vilage,vilage"
"warning,warng,warng,warng"
"winner,winner,winnr,winer"
"worker,workr,workr,woker"
"writer,write,wrier,write"
"assistance,asistance,assitance,assistnce"
"breath,breth,brath,breath"
"buyer,byer,buer,buyer"
"chest,chet,chst,chestt"
"chocolate,choclate,choclate,chooolate"
"conclusion,conclson,conclsn,conclsion"
"contribution,contributon,contribtion,contributin"
"cookie,cokie,cokie,cokie"
"courage,corage,curage,courage"
"desk,dsk,desk,dek"
"drawer,drwer,drawr,drawr"
"establishment,establishent,estblishment,establishent"
"examination,examinaton,examinatin,examinatin"
"garbage,garbge,garbag,garbage"
"grocery,grocry,groery,grocerry"
"honey,hoey,hony,hooney"
"impression,impresion,imprsion,imprsion"
"improvement,improment,improvment,imrovemnt"
"independence,indepndence,indepedence,indepndnce"
"insect,insect,incet,incet"
"inspection,inspecton,inspecton,inspectio"
"inspector,inspectr,inspecor,inspecor"
"king,kng,knig,king"
"ladder,lader,ladder,lader"
"menu,menu,mneu,mneu"
"penalty,penlty,penaty,penaty"
"piano,pino,piano,piano"
"potato,patato,ptato,ptato"
"profession,profesion,profesion,profeson"
"professor,proffessor,profesor,proffesor"
"quantity,quantty,quantty,quantty"
"reaction,reaction,recton,reation"
"requirement,reqirement,reqirement,requrement"
"salad,salad,sallad,salad"
"sister,siter,siter,sisterr"
"supermarket,supermrket,supermaret,supermaket"
"tongue,tong,tong,tongu"
"weakness,weaknes,weknss,weakness"
"wedding,weddng,wedng,weding"
"affair,affar,affair,afair"
"ambition,ambiton,ambiton,ambition"
"analyst,analyst,anlyst,analyst"
"apple,aple,aple,aple"
"assignment,asignment,assigment,assignmnt"
"assistant,asistant,asistant,assitant"
"bathroom,bathrom,bathrom,bathrom"
"bedroom,bedrom,bedrom,bedroom"
"beer,ber,ber,bear"
"birthday,birtday,birhday,birthdy"
"celebration,celebrtion,celebraton,celebrtion"
"championship,champinship,champioship,chmpionship"
"cheek,chek,cheek,cheek"
"client,clent,clint,clint"
"consequence,conseqence,consequece,conseqence"
"departure,departre,departur,departuer"
"diamond,diamon,diamnd,diamon"
"dirt,dirt,drt,dirt"
"ear,ar,er,ear"
"fortune,fortne,fortue,fortun"
"friendship,friendhip,frindship,frindship"
"funeral,funerl,funerl,funral"
"gene,gne,geen,gene"
"girlfriend,grilfriend,girlfiend,girlfried"
"hat,ht,hat,hat"
"indication,indcaton,indicatn,indcaton"
"intention,intenton,intentn,intenton"
"lady,lady,lday,lady"
"midnight,midnigt,midnght,midnght"
"negotiation,negotiaton,negotiatin,negotition"
"obligation,oblgation,obligtion,oblgation"
"passenger,pasenger,passeneger,passengr"
"pizza,piza,piza,pizaa"
"platform,platfrm,platfrm,platfom"
"poet,pet,poet,poeet"
"pollution,polution,polluton,poluton"
"recognition,recgnition,recogniton,recogniton"
"reputation,reputaton,reputatin,reputton"
"shirt,shir,shir,shrt"
"sir,sr,sir,sirr"
"speaker,speker,speker,speker"
"stranger,strnger,stranger,strager"
"surgery,surgrey,surgry,surgrey"
"sympathy,symathy,sympthy,sympath"
"tale,tae,tale,talle"
"throat,throt,throt,troat"
"trainer,trainr,trainr,tainer"
"uncle,uncle,unlce,unclle"
"youth,yoth,yout,youthh"
"time,tme,time,tim"
"work,wrk,work,wrk"
"film,flm,film,fiml"
"water,watr,watr,waterr"
"money,mney,money,moneyy"
"example,exmple,exampel,exampl"
"while,wile,whle,whie"
"business,bussiness,busines,bussines"
"study,stuy,studyy,stuyd"
"game,gme,gaem,gamee"
"life,lfe,lief,lfie"
"form,frm,fom,formm"
"air,ai,air,airr"
"day,dy,dy,daa"
"place,plae,plce,plae"
"number,number,nmber,numbber"
"part,pat,part,paart"
"field,fied,feild,feld"
"fish,fsh,fih,fis"
"back,bak,back,baack"
"process,proces,proess,proess"
"heat,het,hat,heat"
"hand,hnd,hnd,hand"
"experience,experiece,experince,experince"
"job,job,jbo,joob"
"book,bok,bok,boook"
"end,nd,endd,ennd"
"point,pont,pint,pointt"
"type,typ,typ,typee"
"home,hme,hmoe,homee"
"economy,ecnomy,econommy,conomy"
"value,vale,valeu,vlue"
"body,bdy,boddy,boday"
"market,mrket,markte,markett"
"guide,gide,giude,guid"
"interest,interst,intrest,iterest"
"state,stte,stae,statte"
"radio,rdio,raio,radios"
"course,coure,cours,corse"
"company,compay,comapny,compny"
"price,prce,prcie,priice"
"size,sze,szie,siize"
"card,cad,crd,cardd"
"list,lis,lsit,liist"
"mind,mnd,miind,mid"
"trade,trde,trae,tradd"
"line,lne,lien,liine"
"care,cre,crae,caare"
"group,grup,grop,grooup"
"risk,rsk,riskk,riisk"
"word,wrord,ord,wordd"
"fat,ft,fat,faat"
"force,fore,forc,forse"
"key,kye,key,keeey"
"light,ligt,ligh,ligt"
"training,trining,trainng,traiing"
"name,nme,nmae,namee"
"school,shool,schol,schoool"
"top,tp,top,toppp"
"amount,amont,amunt,ammount"
"level,lvel,leve,lvel"
"order,oder,ordr,oorderr"
"practice,practce,practce,pactice"
"research,reearch,researh,reserch"
"sense,senese,snse,senes"
"service,servce,servce,serice"
"piece,pece,peice,piecee"
"web,wb,webb,webb"
"boss,bos,boss,boss"
"sport,sprt,sport,spot"
"fun,fn,funn,fuun"
"house,houe,huse,hoouse"
"page,pge,pae,ppage"
"term,tem,trm,terrm"
"test,tes,tsst,ttest"
"answer,anser,aswer,answe"
"sound,sond,soud,sound"
"focus,fous,focs,fcus"
"matter,matr,matte,matter"
"kind,knd,knid,knd"
"soil,sol,soi,sill"
"board,bord,boad,boad"
"oil,il,oi,oill"
"picture,picure,pictre,pictur"
"access,acess,accss,acess"
"garden,grden,garen,gardn"
"range,rnge,rage,rang"
"rate,rte,rae,raate"
"reason,reasson,reasn,reaso"
"future,fture,futre,futuer"
"site,sit,ste,sitte"
"demand,demnd,demad,demnd"
"exercise,exrcise,exercis,exeris"
"image,imge,imge,imagee"
"case,cas,cse,casee"
"cause,cuse,caus,causee"
"coast,cost,coat,coas"
"action,acton,actin,ation"
"age,aeg,aeg,agee"
"bad,bd,bd,baad"
"boat,bat,baot,boatt"
"record,recrd,recod,recor"
"result,reslt,resut,resul"
"section,secton,secion,secin"
"building,bulding,buiding,buildng"
"mouse,mose,muse,mousee"
"cash,csh,cash,caash"
"class,clas,clss,clas"
"nothing,nothing,noting,nothng"
"period,perod,perid,perid"
"plan,pln,plann,plaan"
"store,stor,stoer,storee"
"tax,tax,taz,taxx"
"side,sde,sied,sidde"
"subject,subect,subjet,subect"
"space,spce,spaee,spce"
"rule,rle,rul,ruule"
"stock,stok,stoc,stcok"
"weather,wether,wethear,weater"
"chance,chance,cance,chancee"
"figure,figre,figur,figuree"
"man,mn,mann,man"
"model,modle,moedl,modell"
"source,sorce,soure,souce"
"beginning,begining,beginnng,beginng"
"earth,erth,earh,eaeth"
"program,progrm,pogram,pogram"
"chicken,chcken,chiken,chicken"
"design,desgn,dsign,designn"
"feature,feture,featur,featr"
"head,hed,haed,headd"
"material,matrial,mterial,materil"
"purpose,pupose,purpse,purpos"
"question,queston,qestion,qustion"
"rock,rok,roc,rook"
"salt,slt,saltt,saalt"
"act,at,actt,act"
"birth,birt,birh,birth"
"car,ca,carr,caar"
"dog,dg,doog,dog"
"object,objct,objet,obejct"
"scale,scle,sclae,scalee"
"sun,sn,sunn,suun"
"note,nte,nto,ntte"
"profit,proft,proit,proft"
"rent,rnt,rent,rentt"
"speed,spedd,speed,speed"
"style,stle,stlye,styl"
"war,warr,warr,waar"
"bank,bnk,bank,bnak"
"craft,craf,crft,crfat"
"half,hlf,halff,haalf"
"inside,insde,insie,insidd"
"outside,outsde,outsie,outsidee"
"standard,stndard,stndard,standrd"
"bus,bs,buus,bbus"
"exchange,exchnge,excange,exange"
"eye,eey,eyee,eey"
"fire,fir,fre,firr"
"position,positon,positon,positin"
"pressure,presure,pressre,presure"
"stress,stres,stres,strss"
"advantage,advantge,advanage,advante"
"benefit,benfit,beneft,benefi"
"box,bo,bok,bx"
"frame,fame,fram,frme"
"issue,isssue,isue,issuee"
"step,sep,stp,steep"
"cycle,cycle,cyce,cyle"
"face,fae,fae,fce"
"item,itm,iteem,itm"
"metal,mtal,metl,metl"
"paint,pint,pat,pint"
"review,revew,revie,reviewe"
"room,rom,rooom,rmo"
"screen,scren,scren,sceen"
"structure,strcture,strucure,sturcture"
"view,vew,veiw,viewe"
"account,acount,accunt,accont"
"ball,bal,ball,bll"
"discipline,dicipline,discpline,discipine"
"medium,mdium,medum,medim"
"share,shre,sare,sharee"
"balance,balnce,balane,blance"
"bit,bitt,biit,bit"
"black,blak,blac,blackk"
"bottom,botom,botom,botom"
"choice,chioce,choce,chioce"
"gift,gft,gift,gfit"
"impact,imact,ipact,impct"
"machine,machne,mahin,macine"
"shape,shpe,sape,shapee"
"tool,tol,toll,tool"
"wind,wnd,wind,wid"
"address,adress,adres,adres"
"average,averge,avarage,avergae"
"career,carer,caree,carree"
"culture,cultre,culure,clture"
"morning,morng,morng,morning"
"pot,pt,po,poot"
"sign,sin,sing,sighn"
"table,tabl,tble,tablle"
"task,tsk,tas,taskk"
"condition,conditon,condtion,condiion"
"contact,contct,conact,contac"
"credit,crdit,creit,credt"
"egg,eg,eggg,eggg"
"hope,hpe,hppe,hoope"
"ice,ie,icee,ice"
"network,netwrk,netork,netwok"
"north,nrth,noh,northh"
"square,quare,squre,squa"
"attempt,atempt,attemp,attmpt"
"date,dat,dte,daate"
"effect,efect,efect,effect"
"link,lnk,linnk,lnk"
"post,pst,postt,poost"
"star,str,sta,staar"
"voice,voce,vice,voicee"
"capital,capitl,capial,captal"
"challenge,chalenge,challnge,challnge"
"friend,frind,freind,frend"
"self,slf,sel,self"
"shot,sht,shott,sho"
"brush,brsh,bush,brush"
"couple,coule,cople,cuple"
"debate,dbate,deate,debte"
"exit,ext,exi,exiit"
"front,frnt,frnt,front"
"function,functin,funtion,functon"
"lack,lck,lac,lackk"
"living,lving,livng,livng"
"plant,plnt,plat,plantt"
"plastic,plastc,plasic,plastc"
"spot,spt,sopt,spot"
"summer,sumer,summe,smmer"
"taste,tste,tast,taaste"
"theme,thee,them,themee"
"track,trck,trak,trak"
"wing,wig,wng,wingg"
"brain,brin,bran,brain"
"button,buton,btton,button"
"click,clck,clic,clik"
"desire,desir,deire,desie"
"foot,fot,fooot,foott"
"gas,gs,gas,gass"
"influence,influnce,infuence,ifluence"
"notice,notce,notie,notie"
"rain,rin,rain,riin"
"wall,wal,waal,wall"
"base,bse,bass,basse"
"damage,damege,dmage,damaage"
"distance,distance,distnce,distace"
"feeling,feelig,feeling,feelingg"
"pair,pir,paair,piir"
"savings,savigs,saving,savigs"
"staff,staf,staaf,staff"
"sugar,suar,sugr,sugar"
"target,taret,taget,tagt"
"text,txt,teext,txt"
"animal,anmal,aiml,anmal"
"author,autor,auhor,autorr"
"budget,bdget,budet,budgt"
"discount,dscount,dicount,discont"
"file,flie,fle,fillle"
"ground,grond,grnd,ground"
"lesson,lsson,leson,lesn"
"minute,munte,miute,miute"
"officer,offier,oficer,oficer"
"phase,phse,pase,phaase"
"reference,referece,refernce,refrence"
"register,regster,regstr,registr"
"sky,ski,sky,sky"
"stage,stge,stge,stae"
"stick,stck,stik,stik"
"title,titl,tile,titte"
"trouble,truble,truoble,truoble"
"bowl,bwl,bwol,bwl"
"bridge,bridg,bridg,brdge"
"campaign,campign,camapign,campain"
"character,charactr,characer,chracter"
"club,clb,clb,clbb"
"edge,edg,egge,edgee"
"evidence,evidenc,evidnce,evidnce"
"fan,fn,fa,faaan"
"letter,lettter,leter,letr"
"lock,lok,lck,lokk"
"maximum,aximum,maimum,maximm"
"novel,nvel,noveel,noveel"
"option,optin,optin,optionn"
"pack,pak,pck,packk"
"park,prk,park,pak"
"plenty,plenty,plety,plenty"
"quarter,quater,quartr,quatr"
"skin,sin,skn,skin"
"sort,sot,srort,sorrt"
"weight,weght,weigt,weight"
"baby,bby,babyy,babb"
"background,backgound,backgrond,backgound"
"carry,cary,crry,carrry"
"dish,dsh,dis,dish"
"factor,facor,fator,fctr"
"fruit,frit,friut,fuit"
"glass,glas,glss,glass"
"joint,jont,join,jont"
"master,mastr,maser,mster"
"muscle,musle,mscle,mscle"
"red,rd,redd,rredd"
"strength,strengh,strenth,streth"
"traffic,trafic,trffic,traffic"
"trip,triip,trp,tipp"
"vegetable,vegetble,vegtable,vegeable"
"appeal,apeal,appal,apeal"
"chart,chrt,chrt,chart"
"gear,ger,gear,ggear"
"ideal,idal,idle,idle"
"kitchen,kithcen,kithen,kitchen"
"land,lnd,lnd,land"
"log,lgo,lg,logg"
"mother,mother,moter,moher"
"net,nett,nett,nnett"
"party,paty,pary,patty"
"principle,principl,principel,priniple"
"relative,relativ,relateve,relatve"
"sale,sle,sale,salle"
"season,seasn,seaon,seaon"
"signal,sigal,signl,sgnal"
"spirit,spiritt,spirt,sprit"
"street,strret,stree,stret"
"tree,tree,tret,tre"
"wave,wve,wav,wavee"
"belt,blt,belt,beelt"
"bench,bnch,benchh,bnch"
"commission,comission,commision,commisson"
"copy,cop,coppy,coppy"
"drop,drp,drpp,dropp"
"minimum,minmum,miimum,minmum"
"path,pah,pth,paath"
"progress,progess,prgress,progres"
"project,projet,proect,prject"
"sea,se,saa,sse"
"south,soth,soth,soouth"
"status,sttus,statys,stattus"
"stuff,stuf,stufff,suff"
"ticket,tiket,tiket,tickett"
"tour,tor,tourr,tour"
"angle,angl,anglee,anggle"
"blue,blu,bluee,bluu"
"breakfast,breakfst,breakfat,breakfastt"
"confidence,confidnce,confidece,conidence"
"daughter,daughtr,daughtr,daugter"
"degree,degre,degee,dgree"
"doctor,doctr,dctor,doctoor"
"dot,doot,dot,dott"
"dream,drem,drm,dreamm"
"duty,dut,dutty,dut"
"essay,essy,esay,essayy"
"father,fathr,fathr,father"
"fee,f,fe,fee"
"finance,finace,fince,financ"
"hour,hur,hou,houur"
"juice,jice,juce,juce"
"limit,lmit,limt,limitt"
"luck,luk,luckk,luckk"
"milk,mlk,miilk,miilk"
"mouth,muth,moouth,mooth"
"peace,pece,pce,peece"
"pipe,pip,pie,pipe"
"seat,set,saet,seat"
"stable,stabl,stablee,stble"
"storm,strm,stor,stom"
"substance,substnce,subtance,sustance"
"team,tem,team,tam"
"trick,trck,trik,trickk"
"afternoon,afternon,aftrnoon,afternon"
"bat,batt,batt,batt"
"beach,bech,bech,beach"
"blank,blnk,blak,blankk"
"catch,ctch,catc,cath"
"chain,chan,chin,chain"
"consideration,consideraton,considration,consideration"
"cream,crem,cram,creaam"
"crew,cre,crow,crw"
"detail,detil,dtail,detal"
"gold,gld,gold,gold"
"interview,intervew,interveiw,intrview"
"kid,kid,kid,kiid"
"mark,mrk,mrk,mrk"
"match,matc,match,match"
"mission,mision,msion,mision"
"pain,pin,pain,pain"
"pleasure,pleasur,pleasre,plesure"
"score,sore,scre,scre"
"screw,scre,scre,srew"
"sex,sx,seex,sx"
"shop,shp,shopp,shopp"
"shower,shwer,showr,shoer"
"suit,sut,suit,suit"
