ngram,Wesfarmers,Wesfarmer
1693,0.0,0.0
1694,0.0,0.0
1695,0.0,0.0
1696,0.0,0.0
1697,0.0,0.0
1698,0.0,0.0
1699,0.0,0.0
1700,0.0,0.0
1701,0.0,0.0
1702,0.0,0.0
1703,0.0,0.0
1704,0.0,0.0
1705,0.0,0.0
1706,0.0,0.0
1707,0.0,0.0
1708,0.0,0.0
1709,0.0,0.0
1710,0.0,0.0
1711,0.0,0.0
1712,0.0,0.0
1713,0.0,0.0
1714,0.0,0.0
1715,0.0,0.0
1716,0.0,0.0
1717,0.0,0.0
1718,0.0,0.0
1719,0.0,0.0
1720,0.0,0.0
1721,0.0,0.0
1722,0.0,0.0
1723,0.0,0.0
1724,0.0,0.0
1725,0.0,0.0
1726,0.0,0.0
1727,0.0,0.0
1728,0.0,0.0
1729,0.0,0.0
1730,0.0,0.0
1731,0.0,0.0
1732,0.0,0.0
1733,0.0,0.0
1734,0.0,0.0
1735,0.0,0.0
1736,0.0,0.0
1737,0.0,0.0
1738,0.0,0.0
1739,0.0,0.0
1740,0.0,0.0
1741,0.0,0.0
1742,0.0,0.0
1743,0.0,0.0
1744,0.0,0.0
1745,0.0,0.0
1746,0.0,0.0
1747,0.0,0.0
1748,0.0,0.0
1749,0.0,0.0
1750,0.0,0.0
1751,0.0,0.0
1752,0.0,0.0
1753,0.0,0.0
1754,0.0,0.0
1755,0.0,0.0
1756,0.0,0.0
1757,0.0,0.0
1758,0.0,0.0
1759,0.0,0.0
1760,0.0,0.0
1761,0.0,0.0
1762,0.0,0.0
1763,0.0,0.0
1764,0.0,0.0
1765,0.0,0.0
1766,0.0,0.0
1767,0.0,0.0
1768,0.0,0.0
1769,0.0,0.0
1770,0.0,0.0
1771,0.0,0.0
1772,0.0,0.0
1773,0.0,0.0
1774,0.0,0.0
1775,0.0,0.0
1776,0.0,0.0
1777,0.0,0.0
1778,0.0,0.0
1779,0.0,0.0
1780,0.0,0.0
1781,0.0,0.0
1782,0.0,0.0
1783,0.0,0.0
1784,0.0,0.0
1785,0.0,0.0
1786,0.0,0.0
1787,0.0,0.0
1788,0.0,0.0
1789,0.0,0.0
1790,0.0,0.0
1791,0.0,0.0
1792,0.0,0.0
1793,0.0,0.0
1794,0.0,0.0
1795,0.0,0.0
1796,0.0,0.0
1797,0.0,0.0
1798,0.0,0.0
1799,0.0,0.0
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,1.6612038728729724e-10,0.0
1835,1.6612038728729724e-10,0.0
1836,1.6612038728729724e-10,0.0
1837,1.6612038728729724e-10,0.0
1838,1.6612038728729724e-10,0.0
1839,1.6612038728729724e-10,0.0
1840,1.6612038728729724e-10,0.0
1841,0.0,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,0.0,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,0.0
1854,0.0,0.0
1855,0.0,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,0.0,0.0
1861,0.0,0.0
1862,0.0,0.0
1863,0.0,0.0
1864,0.0,0.0
1865,0.0,0.0
1866,1.3271885971174616e-10,0.0
1867,1.3271885971174616e-10,0.0
1868,1.3271885971174616e-10,0.0
1869,1.3271885971174616e-10,0.0
1870,1.3271885971174616e-10,0.0
1871,1.3271885971174616e-10,0.0
1872,1.3271885971174616e-10,0.0
1873,0.0,0.0
1874,0.0,0.0
1875,0.0,0.0
1876,0.0,0.0
1877,0.0,0.0
1878,0.0,0.0
1879,0.0,0.0
1880,0.0,0.0
1881,0.0,0.0
1882,0.0,0.0
1883,0.0,0.0
1884,0.0,0.0
1885,0.0,0.0
1886,0.0,0.0
1887,0.0,0.0
1888,0.0,0.0
1889,0.0,0.0
1890,0.0,0.0
1891,0.0,0.0
1892,0.0,0.0
1893,0.0,0.0
1894,0.0,0.0
1895,0.0,0.0
1896,0.0,0.0
1897,0.0,0.0
1898,0.0,0.0
1899,0.0,0.0
1900,0.0,0.0
1901,0.0,0.0
1902,0.0,0.0
1903,0.0,0.0
1904,0.0,0.0
1905,0.0,0.0
1906,0.0,0.0
1907,0.0,0.0
1908,0.0,0.0
1909,0.0,0.0
1910,0.0,0.0
1911,0.0,0.0
1912,0.0,0.0
1913,0.0,0.0
1914,0.0,0.0
1915,0.0,0.0
1916,0.0,0.0
1917,0.0,0.0
1918,1.4380239063019725e-11,0.0
1919,1.4380239063019725e-11,0.0
1920,1.4380239063019725e-11,0.0
1921,1.4380239063019725e-11,0.0
1922,1.4380239063019725e-11,0.0
1923,3.893368365799026e-11,0.0
1924,6.335521393222417e-11,0.0
1925,4.897497486920445e-11,0.0
1926,9.482090113088759e-11,0.0
1927,1.4029765841147172e-10,0.0
1928,2.087261197214474e-10,0.0
1929,2.5929771425252975e-10,0.0
1930,3.4365384149470657e-10,0.0
1931,3.192323112204727e-10,0.0
1932,3.4287555731157427e-10,0.0
1933,3.665311070528381e-10,0.0
1934,5.007973480353201e-10,0.0
1935,5.212582191279783e-10,0.0
1936,5.544363539706459e-10,0.0
1937,4.455267821334985e-10,0.0
1938,4.455267821334985e-10,0.0
1939,4.716715867087678e-10,0.0
1940,4.021701107058208e-10,0.0
1941,3.878985267911718e-10,0.0
1942,3.2391724025249147e-10,0.0
1943,2.4016751087874155e-10,0.0
1944,2.4016751087874155e-10,0.0
1945,3.9032287521160013e-10,0.0
1946,3.9017913701565124e-10,0.0
1947,8.537744578778523e-10,0.0
1948,7.567030434791582e-10,0.0
1949,1.1059305772752127e-09,0.0
1950,1.6473697882015058e-09,0.0
1951,2.1603918257514667e-09,0.0
1952,2.9199054999270604e-09,1.5683949179073106e-11
1953,3.5605875866754187e-09,1.5683949179073106e-11
1954,4.258268801063789e-09,4.4715860974304484e-11
1955,5.204466413388786e-09,7.370436503181414e-11
1956,6.4599594562508855e-09,1.0064037599320587e-10
1957,7.740873053663222e-09,1.0064037599320587e-10
1958,8.049075755118501e-09,1.0064037599320587e-10
1959,8.59632485829463e-09,1.0754430481073131e-10
1960,9.017723900939245e-09,1.7107147246405877e-10
1961,1.019760574396043e-08,1.420395606688274e-10
1962,1.1937482367687023e-08,1.1305105661131774e-10
1963,1.2516413683272276e-08,1.0592275865940946e-10
1964,1.3185207719297004e-08,1.0592275865940946e-10
1965,1.4409081927624356e-08,1.1473784026058301e-10
1966,1.4174400700791726e-08,9.214996226398447e-11
1967,1.4009055883588774e-08,3.7467473568142395e-11
1968,1.2358707771450587e-08,3.7467473568142395e-11
1969,9.9633089715009e-09,3.7467473568142395e-11
1970,8.964941233813306e-09,1.7659760558658936e-11
1971,8.192367355925562e-09,1.7659760558658936e-11
1972,6.573345233208881e-09,8.844678957485387e-12
1973,6.952403161112183e-09,8.844678957485387e-12
1974,6.307480157222553e-09,8.147503009560607e-12
1975,1.0944611661400927e-08,2.4366503358670092e-11
1976,1.3261667795662544e-08,2.4366503358670092e-11
1977,1.2284241512894312e-08,2.4366503358670092e-11
1978,1.0924705410150385e-08,2.4366503358670092e-11
1979,1.0921269047844565e-08,4.874960603846417e-11
1980,1.0299577651069164e-08,5.658643345562986e-11
1981,1.1096811073204752e-08,4.8438930446069255e-11
1982,6.650837198434496e-09,3.2219930096959764e-11
1983,5.307156603073793e-09,4.702494148047163e-11
1984,5.941760670781702e-09,4.702494148047163e-11
1985,7.275497347438074e-09,4.702494148047163e-11
1986,8.255293528135001e-09,2.2641838800677558e-11
1987,1.1789730525180175e-08,2.1492478927528527e-11
1988,1.1820859275551193e-08,2.8423888738725113e-11
1989,1.4158465067026782e-08,2.8423888738725113e-11
1990,1.5362507266303282e-08,2.6933801914953902e-11
1991,1.789801830552408e-08,4.6641606747467785e-11
1992,1.8801081961125225e-08,5.300395291325215e-11
1993,2.0284374307217538e-08,1.1097618706926556e-10
1994,1.8013913662327597e-08,1.4330749979553558e-10
1995,2.068443702033359e-08,1.6192461558103436e-10
1996,2.1769156128519692e-08,1.682266548286293e-10
1997,2.1286314171626534e-08,1.6641677916659096e-10
1998,2.1257661028276483e-08,1.5826454928337596e-10
1999,2.2252011534971772e-08,1.6817193570257365e-10
2000,2.303213772084486e-08,1.3616184866124418e-10
2001,2.2806708521727614e-08,1.0221379843712773e-10
2002,2.2329500153667984e-08,8.203382665621689e-11
2003,2.076933634599852e-08,9.120619884339654e-11
2004,2.4342583694801434e-08,1.0493388053319944e-10
2005,2.2379436335841418e-08,1.132526795558483e-10
2006,2.0163383343937572e-08,1.2786238090137632e-10
2007,1.7222094924765737e-08,1.0190023378669239e-10
2008,1.897648393978102e-08,9.682950374052218e-11
2009,1.719250906719237e-08,9.560962909279817e-11
2010,1.545957241587205e-08,8.832300986813139e-11
2011,1.2130660412676012e-08,7.23750734442958e-11
2012,1.2332216898463294e-08,6.318041452116737e-11
2013,1.2178115404992695e-08,4.300302599132991e-11
2014,1.3225299395307794e-08,4.819877607150794e-11
2015,1.0652938150660215e-08,8.078280281812297e-11
2016,1.0346699941266024e-08,7.663412365006244e-11
2017,1.089142553922784e-08,7.985405334661373e-11
2018,9.85252945895354e-09,8.282615218679901e-11
2019,9.493547059591378e-09,8.484318889806497e-11
