ngram,Berkshire Hathaway,Berkshire Hathway
1692,0.0,0.0
1693,0.0,0.0
1694,0.0,0.0
1695,0.0,0.0
1696,0.0,0.0
1697,0.0,0.0
1698,0.0,0.0
1699,0.0,0.0
1700,0.0,0.0
1701,0.0,0.0
1702,0.0,0.0
1703,0.0,0.0
1704,0.0,0.0
1705,0.0,0.0
1706,0.0,0.0
1707,0.0,0.0
1708,0.0,0.0
1709,0.0,0.0
1710,0.0,0.0
1711,0.0,0.0
1712,0.0,0.0
1713,0.0,0.0
1714,0.0,0.0
1715,0.0,0.0
1716,0.0,0.0
1717,0.0,0.0
1718,0.0,0.0
1719,0.0,0.0
1720,0.0,0.0
1721,0.0,0.0
1722,0.0,0.0
1723,0.0,0.0
1724,0.0,0.0
1725,0.0,0.0
1726,0.0,0.0
1727,0.0,0.0
1728,0.0,0.0
1729,0.0,0.0
1730,0.0,0.0
1731,0.0,0.0
1732,0.0,0.0
1733,0.0,0.0
1734,0.0,0.0
1735,0.0,0.0
1736,0.0,0.0
1737,0.0,0.0
1738,0.0,0.0
1739,0.0,0.0
1740,0.0,0.0
1741,0.0,0.0
1742,0.0,0.0
1743,0.0,0.0
1744,0.0,0.0
1745,0.0,0.0
1746,0.0,0.0
1747,0.0,0.0
1748,0.0,0.0
1749,0.0,0.0
1750,0.0,0.0
1751,0.0,0.0
1752,0.0,0.0
1753,0.0,0.0
1754,0.0,0.0
1755,0.0,0.0
1756,0.0,0.0
1757,0.0,0.0
1758,0.0,0.0
1759,0.0,0.0
1760,0.0,0.0
1761,0.0,0.0
1762,0.0,0.0
1763,0.0,0.0
1764,0.0,0.0
1765,0.0,0.0
1766,0.0,0.0
1767,0.0,0.0
1768,0.0,0.0
1769,0.0,0.0
1770,0.0,0.0
1771,0.0,0.0
1772,0.0,0.0
1773,0.0,0.0
1774,0.0,0.0
1775,0.0,0.0
1776,0.0,0.0
1777,0.0,0.0
1778,0.0,0.0
1779,0.0,0.0
1780,0.0,0.0
1781,0.0,0.0
1782,0.0,0.0
1783,0.0,0.0
1784,0.0,0.0
1785,0.0,0.0
1786,0.0,0.0
1787,0.0,0.0
1788,0.0,0.0
1789,0.0,0.0
1790,0.0,0.0
1791,0.0,0.0
1792,0.0,0.0
1793,0.0,0.0
1794,0.0,0.0
1795,0.0,0.0
1796,0.0,0.0
1797,0.0,0.0
1798,0.0,0.0
1799,0.0,0.0
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,3.362461103202057e-10,0.0
1830,3.362461103202057e-10,0.0
1831,3.362461103202057e-10,0.0
1832,3.362461103202057e-10,0.0
1833,3.362461103202057e-10,0.0
1834,3.362461103202057e-10,0.0
1835,3.362461103202057e-10,0.0
1836,0.0,0.0
1837,0.0,0.0
1838,0.0,0.0
1839,0.0,0.0
1840,0.0,0.0
1841,0.0,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,0.0,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,0.0
1854,0.0,0.0
1855,0.0,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,0.0,0.0
1861,0.0,0.0
1862,0.0,0.0
1863,0.0,0.0
1864,0.0,0.0
1865,0.0,0.0
1866,0.0,0.0
1867,0.0,0.0
1868,0.0,0.0
1869,0.0,0.0
1870,0.0,0.0
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,0.0
1874,0.0,0.0
1875,0.0,0.0
1876,0.0,0.0
1877,0.0,0.0
1878,1.3125054059465973e-09,0.0
1879,1.3125054059465973e-09,0.0
1880,1.3437990898606295e-09,0.0
1881,1.3437990898606295e-09,0.0
1882,1.3437990898606295e-09,0.0
1883,1.7105283400027054e-09,0.0
1884,1.7105283400027054e-09,0.0
1885,3.980229340561081e-10,0.0
1886,3.980229340561081e-10,0.0
1887,3.6672925014207587e-10,0.0
1888,3.6672925014207587e-10,0.0
1889,3.6672925014207587e-10,0.0
1890,0.0,0.0
1891,0.0,0.0
1892,1.0679952160736711e-10,0.0
1893,1.0679952160736711e-10,0.0
1894,1.0679952160736711e-10,0.0
1895,1.0679952160736711e-10,0.0
1896,1.0679952160736711e-10,0.0
1897,1.0679952160736711e-10,0.0
1898,1.0679952160736711e-10,0.0
1899,0.0,0.0
1900,0.0,0.0
1901,0.0,0.0
1902,0.0,0.0
1903,1.5128944723980756e-11,0.0
1904,1.5128944723980756e-11,0.0
1905,1.5128944723980756e-11,0.0
1906,1.5128944723980756e-11,0.0
1907,1.5128944723980756e-11,0.0
1908,1.5128944723980756e-11,0.0
1909,1.5128944723980756e-11,0.0
1910,1.6346732221807413e-09,0.0
1911,1.6346732221807413e-09,0.0
1912,1.6346732221807413e-09,0.0
1913,1.6346732221807413e-09,0.0
1914,1.6346732221807413e-09,0.0
1915,1.6346732221807413e-09,0.0
1916,1.6346732221807413e-09,0.0
1917,0.0,0.0
1918,0.0,0.0
1919,0.0,0.0
1920,0.0,0.0
1921,0.0,0.0
1922,2.2924917916381358e-11,0.0
1923,4.6247773467987334e-11,0.0
1924,4.6247773467987334e-11,0.0
1925,4.6247773467987334e-11,0.0
1926,8.977074837458941e-11,0.0
1927,8.977074837458941e-11,0.0
1928,1.5470686834781081e-10,0.0
1929,1.3178195043142945e-10,0.0
1930,2.119041727802592e-10,0.0
1931,2.119041727802592e-10,0.0
1932,2.119041727802592e-10,0.0
1933,3.004272069213292e-10,0.0
1934,3.004272069213292e-10,0.0
1935,2.354910869481078e-10,0.0
1936,2.752790099044436e-10,0.0
1937,2.144633002933359e-10,0.0
1938,1.350882259229128e-09,0.0
1939,1.5638340900014924e-09,0.0
1940,1.4317880809538203e-09,0.0
1941,1.4317880809538203e-09,0.0
1942,1.4791832520748877e-09,0.0
1943,1.4801998951937838e-09,0.0
1944,1.4736723428855824e-09,0.0
1945,5.513572138531637e-10,0.0
1946,5.586807683144457e-10,0.0
1947,9.207532990020338e-10,0.0
1948,1.3433093526415973e-09,0.0
1949,1.3282521392289836e-09,0.0
1950,1.6412746043200803e-09,0.0
1951,1.7625348640899168e-09,0.0
1952,3.4123216633271827e-09,0.0
1953,4.981912565022688e-09,0.0
1954,6.276184429308631e-09,0.0
1955,8.693085045458865e-09,0.0
1956,1.0352312832370307e-08,0.0
1957,1.1295603642911902e-08,0.0
1958,1.24289745479749e-08,1.1322218956039925e-11
1959,1.3026381370398861e-08,1.1322218956039925e-11
1960,1.267681883275275e-08,1.1322218956039925e-11
1961,1.3354449228992443e-08,1.1322218956039925e-11
1962,1.268911959633507e-08,1.1322218956039925e-11
1963,1.2939214271463179e-08,1.1322218956039925e-11
1964,1.4415950972639685e-08,1.1322218956039925e-11
1965,1.3913740382065498e-08,2.5165607692961042e-11
1966,1.2013306413142085e-08,2.5165607692961042e-11
1967,1.1229597188641297e-08,2.5165607692961042e-11
1968,9.882111573489283e-09,3.3597138959784445e-11
1969,9.058313908484803e-09,3.3597138959784445e-11
1970,8.852597194979645e-09,3.3597138959784445e-11
1971,9.725929839277114e-09,3.3597138959784445e-11
1972,1.222413529130709e-08,8.431531266823405e-12
1973,1.2763311740826566e-08,8.431531266823405e-12
1974,1.30992242449882e-08,3.944737592131986e-11
1975,1.3685789898179986e-08,3.1015844654496454e-11
1976,1.3657903887219293e-08,3.1015844654496454e-11
1977,1.5442194697560093e-08,3.1015844654496454e-11
1978,1.334736105767271e-08,3.1015844654496454e-11
1979,1.172267755882623e-08,3.1015844654496454e-11
1980,1.251610637353906e-08,3.1015844654496454e-11
1981,1.331621390932014e-08,0.0
1982,1.5810262559463288e-08,2.1146118586326932e-11
1983,1.8092099247318013e-08,2.1146118586326932e-11
1984,1.861316383562033e-08,2.8137985493202423e-11
1985,2.2374115385811625e-08,3.502050534485792e-11
1986,2.7748854388879148e-08,3.502050534485792e-11
1987,3.1676923687281744e-08,4.774517884228605e-11
1988,3.768532229133013e-08,6.093370451067313e-11
1989,4.1657079056075675e-08,1.410645647911427e-10
1990,4.649778365514326e-08,1.5373520908682333e-10
1991,5.6264327546224583e-08,1.5925044665901896e-10
1992,6.027156373988873e-08,1.7659285442680631e-10
1993,6.408707114197959e-08,2.1338028070662573e-10
1994,7.180142905635226e-08,2.6876853520541033e-10
1995,7.820067336540757e-08,2.860004396008721e-10
1996,8.474728525292058e-08,2.5675048000360437e-10
1997,9.01202871058818e-08,2.714638751883618e-10
1998,9.456341030857272e-08,2.9196032694641817e-10
1999,1.070396688110772e-07,3.1419944622270076e-10
2000,1.1612459413104911e-07,3.0213575094187716e-10
2001,1.305030658776169e-07,2.774956237017179e-10
2002,1.3861850334251358e-07,2.8287851029849623e-10
2003,1.4374214072989032e-07,2.3051145119674336e-10
2004,1.5674969842750996e-07,2.3197725486566257e-10
2005,1.7745446103033048e-07,2.3684074939340453e-10
2006,1.863498571960268e-07,2.2958116756883433e-10
2007,1.915435977447747e-07,2.8660073917282803e-10
2008,1.9463832399781366e-07,3.0853735439555814e-10
2009,1.9259392607701947e-07,3.1614997524671244e-10
2010,1.9170184373251686e-07,3.1987488848171456e-10
2011,1.8329466148056133e-07,3.263008157323404e-10
2012,1.6145205198167138e-07,3.1380908982470146e-10
2013,1.499111245298731e-07,2.949674829785412e-10
2014,1.4177666888112332e-07,2.3792121844096974e-10
2015,1.2509260877940115e-07,1.7767769993388376e-10
2016,1.2058659746929023e-07,1.4616009097467852e-10
2017,1.1873116534388828e-07,1.4323775383388396e-10
2018,1.1669169168726512e-07,1.224992260406843e-10
2019,1.1591665582955102e-07,1.08717214050702e-10
